YEAR,SUM(C.VALUE)
2010                                  ,331657.47257472156
2010                                  ,155079
2011                                  ,391684.3207468212
2011                                  ,153076
2012                                  ,395477.676013121
2012                                  ,152590
2013                                  ,413516.2396414891
2013                                  ,140663
2014                                  ,137028
2014                                  ,401421.9412196598
2015                                  ,128294
2015                                  ,345883.76394932583
2016                                  ,507761.24927169346
2016                                  ,126800
2017                                  ,393251.3146934845
2017                                  ,187722
