TOWN,LISTYEAR,AVERAGESALEAMOUNT,AVERAGEINCOME,AVERAGECRIMERATE
Andover,2010                                  ,222061,30460.6,9.636363636363637
Andover,2011                                  ,163555.55555555556,26140.86,7.090909090909091
Andover,2012                                  ,192850.82926829267,23272.32,4.090909090909091
Andover,2013                                  ,208191.4054054054,25388.72,3.909090909090909
Andover,2014                                  ,184573.63043478262,29979.88,6.545454545454546
Andover,2015                                  ,212297.431372549,33184.88,2.727272727272727
Andover,2017                                  ,189342.56346153846,33563.5,2.1818181818181817
Ansonia,2010                                  ,169077.97202797202,38951.44,97.0909090909091
Ansonia,2011                                  ,153055.43292682926,35553.54,110.72727272727273
Ansonia,2013                                  ,168934.806763285,34043.56,116.54545454545455
Ansonia,2014                                  ,160083.0888888889,36978.86,112
Ansonia,2015                                  ,182547.29151291514,40684.98,103.63636363636364
Ansonia,2016                                  ,196955.0792079208,41286.18,98.27272727272727
Ansonia,2017                                  ,181939.4688,41306.975,103.18181818181819
Ashford,2010                                  ,197705.44827586206,26398.68,9.272727272727273
Ashford,2012                                  ,186277.88461538462,22605.36,5.181818181818182
Ashford,2013                                  ,154167.25454545455,19241.94,7.090909090909091
Ashford,2014                                  ,167395.67307692306,18413.5,8.181818181818182
Ashford,2015                                  ,155350.32941176472,18648.22,4.909090909090909
Ashford,2017                                  ,286293.10784946237,22046.775,8.181818181818182
Avon,2010                                  ,499534.1724137931,84744.08,52.45454545454545
Avon,2011                                  ,489398.55287009064,82129.66,49.36363636363637
Avon,2012                                  ,497572.5913461539,77564.56,47.45454545454545
Avon,2014                                  ,456746.0451306413,76618.38,47.27272727272727
Avon,2015                                  ,543855.7751937985,73070.46,40.90909090909091
Avon,2016                                  ,408651.94951923075,80250.2,36.27272727272727
Avon,2017                                  ,402244.19321148825,84610.825,45.81818181818182
Barkhamsted,2010                                  ,187010.36585365853,18684.14,5.454545454545454
Barkhamsted,2011                                  ,206116.15384615384,19207.12,6.818181818181818
Barkhamsted,2012                                  ,184378.72340425532,20529.82,4.909090909090909
Barkhamsted,2014                                  ,232858.55357142858,23340.7,5.454545454545454
Barkhamsted,2015                                  ,209032.19642857142,25017.86,4.909090909090909
Barkhamsted,2016                                  ,271693.6274509804,25441.52,4.909090909090909
Barkhamsted,2017                                  ,219852.95975903614,25669.15,3.272727272727273
Beacon Falls,2010                                  ,183388.03225806452,37546.58,25.363636363636363
Beacon Falls,2012                                  ,230025.51136363635,32044.2,11.727272727272727
Beacon Falls,2013                                  ,209945.25688073394,28245.12,15
Beacon Falls,2014                                  ,270198.2037037037,23752.94,18
Beacon Falls,2015                                  ,231909.25961538462,22085.68,14.181818181818182
Beacon Falls,2017                                  ,237757.376146789,23095.825,14.454545454545455
Berlin,2010                                  ,254402.19931271477,54003.64,98.45454545454545
Berlin,2011                                  ,270617.6756756757,52417.48,107.81818181818181
Berlin,2013                                  ,299873.31907894736,48029.66,79.72727272727273
Berlin,2014                                  ,285628.600660066,45570.96,86.72727272727273
Berlin,2015                                  ,322052.04,45536.02,93.36363636363636
Berlin,2016                                  ,324713.3143712575,45182.36,94.0909090909091
Berlin,2017                                  ,234727.79411764705,42488.075,116.72727272727273
Bethany,2010                                  ,289236.84210526315,60415.86,11.545454545454545
Bethany,2011                                  ,326599,43289.44,10.363636363636363
Bethany,2012                                  ,301223.4,37583.46,13.090909090909092
Bethany,2014                                  ,346395.84375,38560.18,8.181818181818182
Bethany,2015                                  ,305153.4166666667,43414.3,9.545454545454545
Bethany,2016                                  ,303059.77777777775,56658.44,9.909090909090908
Bethany,2017                                  ,296424.4069767442,64654.575,8.181818181818182
Bethel,2010                                  ,351719.3495575221,76145.2,55.18181818181818
Bethel,2011                                  ,315748.1308016878,77187.7,84.81818181818181
